Title,Year,Notes
When the Daltons Rode,1940,d.- George Marshall (6 1/2)
The Ghost Breakers,1940,d.- George Marshall (6 1/2)
Young Tom Edison,1940,d.- Norman Taurog (6 1/2)
Dr. Ehrlich’s Magic Bullet,1940,d.- William Dieterle (6 1/2)
New Moon,1940,d.- Robert Z. Leonard (6 1/2)
"Arise, My Love",1940,d.- Mitchell Leisen (6 1/2)
The Biscuit Eater,1940,d.- Stuart Heisler (6 1/2)
The Cat and the Canary,1940,d.- Elliott Nugent (6 1/2)
Tin Pan Alley,1940,d.- Walter Lang (6 1/2)
The Northwest Passage,1940,d.- King Vidor (6 1/2)
Irene,1940,d.- Herbert Wilcox (6 1/2)
The Return of Frank James,1940,d.- Fritz Lang (6 1/2)
I Love You Again,1940,d.- W. S. Van Dyke (6 1/2)
Road to Singapore,1940,d.- Victor Schertzinger (6 1/2)
Strange Cargo,1940,d.- Frank Borzage (6 1/2)
"Dance, Girl, Dance",1940,d.- Dorothy Arzner (6 1/2)
The Fighting 69th,1940,d.- William Keighley (6 1/2)
Crimes at the Dark House,1940,(BR) d.- George King (6 1/2)
Charlie Chan at the Wax Museum,1940,d.- Lynn Shores (6 1/2)
Boom Town,1940,d.- Jack Conway (6 1/2)
A Dispatch from Reuters,1940,d.- William Dieterle (6 1/2)
Strike Up the Band,1940,d.- Busby Berkeley (6 1/2)
Knute Rockne All American,1940,d.- Lloyd Bacon (6 1/2)
The House of the Seven Gables,1940,d.- Joe May (6 1/2)
‘Til We Meet Again,1940,d.- Edmund Goulding (6 1/2)
Primrose Path,1940,d.- Gregory La Cava (6 1/2)
Stranger on the Third Floor,1940,d.- Boris Ingster (6 1/2)
Melody Ranch,1940,d.- Joseph Santley (6 1/2)
Virginia City,1940,d.- Michael Curtiz (6 1/2)
Castle on the Hudson,1940,d.- Anatole Litvak (6 1/2)
Andy Hardy Meets Debutante,1940,d.- George B. Seitz (6 1/2)
The House of the Seven Gables,1940,d.- Joe May (6 1/2)
Where’s That Fire?,1940,(BR) d.- Marcel Varnel (6 1/2)
Torrid Zone,1940,d.- William Keighley (6 1/2)
Busman’s Honeymoon,1940,(BR) d.- Arthur B. Woods (6 1/2)
Brother Orchid,1940,d.- Lloyd Bacon (6 1/2)
Charlie Chan’s Murder Cruise,1940,d.- Eugene Forde (6 1/2)
Home in Indiana,1940,d.- Henry Hathaway (6 1/2)
Dr. Kildare’s Strange Case,1940,d.- Harold S. Bucquet (6 1/2)
Comrade X,1940,d.- King Vidor (6 1/2)
They Knew What They Wanted,1940,d.- Garson Kanin (6 1/2)
The Son of Monte Cristo,1940,d.- Rowland V. Lee (6 1/2)
My Little Chickadee,1940,d.- Edward F. Cline (6 1/2)
Contraband,1940,(BR) d.- Michael Powell (6 1/2)
Bitter Sweet,1940,d.- W. S. Van Dyke (6 1/2)
The Invisible Man Returns,1940,d.- Joe May (6 1/2)
Charlie Chan in Panama,1940,d.- Norman Foster (6 1/2)
One Night in the Tropics,1940,d.- A. Edward Sutherland (6 1/2)
Susan and God,1940,d.- George Cukor (6 1/2)
The Santa Fe Trail,1940,d.- Michael Curtiz (6 1/2)
North West Mounted Police,1940,d.- Cecil B. DeMille (6 1/2)
21 Days,1940,(BR) d.- Basil Dean (6 1/2)
Dr. Cyclops,1940,d.- Ernest B. Schoedsack (6 1/2)
Star Dust,1940,d.- Walter Lang (6 1/2)
Go West,1940,d.- Edward Buzzell (6 1/2)
Brigham Young,1940,d.- Henry Hathaway (6 1/2)
Down Argentine Way,1940,d.- Irving Cummings (6 1/2)
The Way of all Flesh,1940,d.- Louis King (6 1/2)
Dr. Kildare’s Strange Case,1940,d.- Harold S. Bucquet (6 1/2)
The Doctor Takes a Wife,1940,d.- Alexander Hall (6 1/2)
The Mummy’s Hand,1940,d.- Christy Cabanne (6 1/2)
Angels Over Broadway,1940,"d.- Ben Hecht, Lee Garmes (6 1/2)"
Johnny Apollo,1940,d.- Henry Hathaway (6 1/2)
Little Men,1940,d.- Norman Z. McLeod (6 1/2)
Arizona,1940,d.- Wesley Ruggles (6 1/2)
Beyond Tomorrow,1940,d.- A. Edward Sutherland (6 1/2)
I Was an Adventuress,1940,d.- Gregory Ratoff (6 1/2)
The Proud Valley,1940,d.- Pen Tennyson (6 1/2)
Rhythm on the River,1940,d.- Victor Schertzinger (6 1/2)
Too Many Husbands,1940,d.- Wesley Ruggles (6 1/2)
Saps at Sea,1940,d.- Gordon Douglas (6 1/2)
Congo Maisie,1940,d.- H.C. Potter (6 1/2)
Lillian Russell,1940,d.- Irving Cummings (6 1/2)
The Invisible Woman,1940,d.- A. Edward Sutherland (6 1/2)
The Great Profile,1940,d.- Walter Lang (6 1/2)
It’s a Date,1940,d.- William A. Seiter (6 1/2)
Seven Sinners,1940,d.- Tay Garnett (6 1/2)
Three Cheers for the Irish,1940,d.- Lloyd Bacon (6 1/2)
You’ll Find Out,1940,d.- David Butler (6 1/2)
Hired Wife,1940,d.- William A. Seiter (6 1/2)
The Saint Takes Over,1940,d.- Jack Hively (6 1/2)
I Take This Woman,1940,d.- W. S. Van Dyke (6 1/2)
Flowing Gold,1940,d.- Alfred E. Green (6 1/2)
Green Hell,1940,d.- James Whale (6 1/2)
The Man Who Haunted Himself,1940,(BR) d.- Basil Dearden (6 1/2)
The Blue Bird,1940,d.- Walter Lang (6 1/2)
Murder Over New York,1940,d.- Harry Lachman (6 1/2)
20 Mule Team,1940,d.- Richard Thorpe (6 1/2)
Vigil In the Night,1940,d.- George Stevens (6 1/2)
Green Hell,1940,d.- James Whale (6 1/2)
Lady With Red Hair,1940,d.- Curtis Bernhardt (6 1/2)
Too Many Girls,1940,d.- George Abbott (6 1/2)
The Earl of Chicago,1940,d.- Richard Thorpe (6 1/2)
Chad Hanna,1940,d.- Henry King (6 1/2)
Pride of the Bowery,1940,d.- Joseph H. Lewis (6 1/2)
It All Came True,1940,d.- Lewis Seiler (6 1/2)
Brother Rat and a Baby,1940,d.- Ray Enright (6 1/2)
One Million B.C.,1940,"d.- Hal Roach, Hal Roach Jr. (6 1/2)"
Music in My Heart,1940,d.- Joseph Santley  (6 1/2)
A Chump at Oxford,1940,d.- Alfred J. Goulding (6)
The Dark Command,1940,d.- Raoul Walsh (6 1/2)
East Side Kids,1940,d.- Robert F. Hill (6 1/2)
Lucky Partners,1940,d.- Lewis Milestone (6 1/2)
Tom Brown’s School Days,1940,d.- Robert Stevenson (6 1/2)
No Time for Comedy,1940,d.- William Keighley (6 1/2)
"Third Finger, Left Hand",1940,d.- Robert Z. Leonard (6 1/2)
The Lady in Question,1940,d.- Charles Vidor (6 1/2)
Three Men From Texas,1940,d.- Lesley Selander (6 1/2)
That Gang of Mine,1940,d.- Joseph H. Lewis (6 1/2)
Charley’s (Big-Hearted) Aunt,1940,(BR) d.- Walter Forde (6 1/2)
One Million B.C.,1940,"d.- Hal Roach, Hal Roach Jr. (6 1/2)"
The Devil Bat,1940,d.- Jean Yarbrough (6 1/2)
Girls of the Road,1940,d.- Nick Grinde (6 1/2)
British Intelligence,1940,d.- Terry O. Morse (6 1/2)
Before I Hang,1940,d.- Nick Grinde (6 1/2)
Slightly Honorable,1940,d.- Tay Garnett (6  1/2)
Swiss Family Robinson,1940,d.- Edward Ludwig (6 1/2)
Kit Carson,1940,d.- George B. Seitz (6 1/2)
"Dad Rudd, M. P.",1940,(AUS) d.- Ken G. Hall (6 1/2)
Young People,1940,d.- Allan Dwan (6 1/2)
Michael Shayne: Private Detective,1940,d.- Eugene Forde (6)
Flight Angels,1940,d.- Lewis Seiler (6)
The Carson City Kid,1940,d.- Joseph Kane (6)
Nine Lives Are Not Enough,1940,d.- A. Edward Sutherland (6)
Island of Doomed Men,1940,d.- Charles Barton (6)
Phantom of Chinatown,1940,d.- Phil Rosen (6)
Triple Justice,1940,d.- David Howard (6)
The Man With Nine Lives,1940,d.- Nick Grinde (6)
Three Faces West,1940,d.- Bernard Vorhaus (6)
Wagon Train,1940,d.- Edward Killy (6)
Curtain Call,1940,d.- Frank Woodruff (6)
Men with Steel Faces,1940,"d.- Otto Brower, B. Reeves Eason (5 1/2)"
Citizen Kane,1941,d.- Orson Welles (7)
How Green Was My Valley,1941,d.- John Ford (7)
The Maltese Falcon,1941,d.- John Huston (7)
Sullivan's Travels,1941,d.- Preston Sturges (7)
The Lady Eve,1941,d.- Preston Sturges (7)
Here Comes Mr. Jordan,1941,d.- Alexander Hall (7)
The Devil and Miss Jones,1941,d.- Sam Wood (7)
Sergeant York,1941,d.- Howard Hawks (7)
The Little Foxes,1941,d.- William Wyler (7)
Meet John Doe,1941,d.- Frank Capra (7)
The Man Who Came to Dinner,1941,d.- William Keighley (7)
The Sea Wolf,1941,d.- Michael Curtiz (7)
Ball of Fire,1941,d.- Howard Hawks (7)
The Stars Look Down,1941,(BR) d.- Carol Reed (7)
Never Give a Sucker an Even Break,1941,d.- Edward F. Cline (6 1/2)
The Devil and Daniel Webster,1941,d.- William Dieterle (6 1/2)
Blood and Sand,1941,d.- Rouben Mamoulian (6 1/2)
The Wolf Man,1941,d.- George Waggner (6 1/2)
Major Barbara,1941,(BR) d.- Gabriel Pascal (6 1/2)
Forty-Ninth Parallel,1941,(BR) d.- Michael Powell (6 1/2)
They Died With Their Boots On,1941,d.- Raoul Walsh (6 1/2)
Hold Back the Dawn,1941,d.- Mitchell Leisen (6 1/2)
The Great Lie,1941,d.- Edmund Goulding (6 1/2)
That Hamilton Woman,1941,d.- Alexander Korda (6 1/2)
High Sierra,1941,d.- Raoul Walsh (6 1/2)
Suspicion,1941,d.- Alfred Hitchcock (6 1/2)
Blossoms in the Dust,1941,d.- Mervyn LeRoy (6 1/2)
Love Crazy,1941,d.- Jack Conway (6 1/2)
Road to Zanzibar,1941,d.- Victor Schertzinger (6 1/2)
Buck Privates,1941,d.- Arthur Lubin (6 1/2)
Dr. Jekyll and Mr. Hyde,1941,d.- Victor Fleming (6 1/2)
One Foot in Heaven,1941,d.- Irving Rapper (6 1/2)
Man Hunt,1941,d.- Fritz Lang (6 1/2)
Hold That Ghost,1941,d.- Arthur Lubin (6 1/2)
Hellzapoppin,1941,d.- H.C. Potter (6 1/2)
The Shanghai Gesture,1941,d.- Josef von Sternberg (6 1/2)
Penny Serenade,1941,d.- George Stevens (6 1/2)
Western Union,1941,d.- Fritz Lang (6 1/2)
The Feminine Touch,1941,d.- W. S. Van Dyke (6 1/2)
Topper Returns,1941,d.- Roy Del Ruth (6 1/2)
The Strawberry Blonde,1941,d.- Raoul Walsh (6 1/2)
Out of the Fog,1941,d.- Anatole Litvak (6 1/2)
A Woman's Face,1941,d.- George Cukor (6 1/2)
Moon Over Miami,1941,d.- Walter Lang (6 1/2)
Dangerous Moonlight,1941,(BR) d.- Brian Desmond-Hurst (6 1/2)
Skylark,1941,d.- Mark Sandrich (6 1/2)
The Face Behind the Mask,1941,d.- Robert Florey (6 1/2)
That Uncertain Feeling,1941,d.- Ernst Lubitsch (6 1/2)
Babes on Broadway,1941,d.- Busby Berkeley (6 1/2)
I Wake Up Screaming,1941,d.- H. Bruce Humberstone (6 1/2)
"H.M. Pulham, Esq.",1941,d.- King Vidor (6 1/2)
In the Navy,1941,d.- Arthur Lubin (6 1/2)
Son of Fury: The Story of Benjamin Blake,1941,d.- John Cromwell (6 1/2)
All Through the Night,1941,d.- Vincent Sherman (6 1/2)
It Started with Eve,1941,d.- Henry Koster (6 1/2)
Sundown,1941,d.- Henry Hathaway (6 1/2)
All Through the Night,1941,d.- Vincent Sherman (6 1/2)
Back Street,1941,d.- Robert Stevenson (6 1/2)
‘Pimpernel’ Smith,1941,(BR) d.- Leslie Howard (6 1/2)
Sun Valley Serenade,1941,d.- H. Bruce Humberstone (6 1/2)
Two-Faced Woman,1941,d.- George Cukor (6 1/2)
Tarzan’s Secret Treasure,1941,d.- Richard Thorpe (6 1/2)
Shining Victory,1941,d.- Irving Rapper (6 1/2)
A Yank in the R.A.F.,1941,d.- Henry King (6 1/2)
Men of Boys Town,1941,d.- Norman Taurog (6 1/2)
So Ends Our Night,1941,d.- John Cromwell (6 1/2)
The Ghost Train,1941,(BR) d.- Walter Forde (6 1/2)
Honky Tonk,1941,d.- Jack Conway (6 1/2)
Ladies in Retirement,1941,d.- Charles Vidor (6 1/2)
Shadow of the Thin Man,1941,d.- W. S. Van Dyke (6 1/2)
The Flame of New Orleans,1941,d.- Rene Clair (6 1/2)
That Night In Rio,1941,d.- Irving Cummings (6 1/2)
Birth of the Blues,1941,d.- Victor Schertzinger (6 1/2)
Mr. And Mrs. Smith,1941,d.- Alfred Hitchcock (6 1/2)
Life Begins for Andy Hardy,1941,d.- George B. Seitz (6 1/2)
Swamp Water,1941,d.- Jean Renoir (6 1/2)
Kipps,1941,(BR) d.- Carol Reed (6 1/2)
Whistling in the Dark,1941,d.- S. Sylvan Simon (6 1/2)
The Wagons Roll at Night,1941,d.- Ray Enright (6 1/2)
The Big Store,1941,d.- Charles Reisner (6 1/2)
Dr. Kildare’s Wedding Day,1941,d.- Harold S. Bucquet (6 1/2)
Cottage to Let,1941,(BR) d.- Anthony Asquith (6 1/2)
"Tom, Dick and Harry",1941,d.- Garson Kanin (6 1/2)
They Met In Bombay,1941,d.- Clarence Brown (6 1/2)
Remember the Day,1941,d.- Henry King (6 1/2)
Man Made Monster,1941,d.- George Waggner (6 1/2)
Smilin’ Through,1941,d.- Frank Borzage (6 1/2)
Adam Had Four Sons,1941,d.- Gregory Ratoff (6 1/2)
"40,000 Horsemen",1941,(AUS) d.- Charles Chauvel (6 1/2)
The Ghost of St. Michael’s,1941,(BR) d.- Marcel Varnel (6 1/2)
Footsteps in the Dark,1941,d.- Lloyd Bacon (6 1/2)
I Thank You,1941,(BR) d.- Marcel Varnel (6 1/2)
Father Takes a Wife,1941,d.- Jack Hively (6 1/2)
Blues in the Night,1941,d.- Anatole Litvak (6 1/2)
Ziegfeld Girl,1941,"d.- Robert Z. Leonard, Busby Berkeley (6 1/2)"
Texas,1941,d.- George Marshall (6 1/2)
When Ladies Meet,1941,d.- Robert Z. Leonard (6 1/2)
Maisie Was a Lady,1941,d.- Edwin L. Marin (6 1/2)
Among the Living,1941,d.- Stuart Heisler (6 1/2)
The Miracle Kid,1941,d.- Ray Enright (6 1/2)
Affectionately Yours,1941,d.- Lloyd Bacon (6 1/2)
The Bride Came C.O.D.,1941,d.- William Keighley (6 1/2)
The Chocolate Soldier,1941,d.- Roy Del Ruth (6 1/2)
Meet Boston Blackie,1941,d.- Robert Florey (6 1/2)
Confessions of Boston Blackie,1941,d.- Edward Dmytryk (6 1/2)
"Tall, Dark and Handsome",1941,d.- H. Bruce Humberstone (6 1/2)
The People vs. Dr. Kildare,1941,d.- Harold S. Bucquet (6 1/2)
Dressed to Kill,1941,d.- Eugene Forde (6 1/2)
The Shepherd of the Hills,1941,d.- Henry Hathaway (6 1/2)
Honeymoon for Three,1941,d.- Lloyd Bacon (6 1/2)
Sleepers West,1941,d.- Eugene Forde (6 1/2)
Atlantic Ferry,1941,d.-  Walter Forde (6 1/2)
Ringside Maisie,1941,d.- Edwin L. Marin (6 1/2)
Appointment for Love,1941,d.- William A. Seiter (6 1/2)
‘The Smiling Ghost’,1941,d.- Lewis Seiler (6 1/2)
Cheers for Miss Bishop,1941,d.- Tay Garnett (6 1/2)
Pot O’ Gold,1941,d.- George Marshall (6 1/2)
Secrets of the Lone Wolf,1941,d.- Edward Dmytryk (6 1/2)
Appointment for Love,1941,d.- William A. Seiter (6 1/2)
Rise and Shine,1941,d.- Allan Dwan (6 1/2)
Charley’s Aunt,1941,d.- Archie Mayo (6 1/2)
Caught in the Draft,1941,d.- David Butler (6 1/2)
Billy the Kid,1941,d.- David Miller (6 1/2)
The Prime Minister,1941,(BR) d.- Thorold Dickinson (6 1/2)
The Black Cat,1941,d.- Albert S. Rogell (6 1/2)
Dance Hall,1941,d.- Irving Pichel (6 1/2)
Tobacco Road,1941,d.- John Ford (6 1/2)
The Shepherd of the Hills,1941,d.- Henry Hathaway (6 1/2)
Lady Be Good,1941,d.- Norman Z. McLeod (6 1/2)
I Wanted Wings,1941,d.- Mitchell Leisen (6 1/2)
Time Out for Rhythm,1941,d.- Sidney Salkow (6 1/2)
The Lady from Cheyenne,1941,d.- Frank Lloyd (6 1/2)
Hudson’s Bay,1941,d.- Irving Pichel (6 1/2)
You Belong to Me,1941,d.- Wesley Ruggles (6 1/2)
Come Live With Me,1941,d.- Clarence Brown (6 1/2)
Louisiana Purchase,1941,d.- Irving Cummings (6 1/2)
Week-End in Havana,1941,d.- Walter Lang (6 1/2)
The Corsican Brothers,1941,d.- Gregory Ratoff (6 1/2)
Rage in Heaven,1941,d.- W. S. Van Dyke (6 1/2)
International Lady,1941,d.- Tim Whelan (6 1/2)
Invisible Ghost,1941,d.- Joseph H. Lewis (6 1/2)
The Men in Her Life,1941,d.- Gregory Ratoff (6 1/2)
Keep ‘Em Flying,1941,d.- Arthur Lubin (6 1/2)
They Dare Not Love,1941,d.- James Whale (6 1/2)
Unfinished Business,1941,d.- Gregory La Cava (6 1/2)
Dead Men Tell,1941,d.- Harry Lachman (6 1/2)
Road Show,1941,d.- Hal Roach (6 1/2)
Down Mexico Way,1941,d.- Joseph Santley (6 1/2)
One Night in Lisbon,1941,d.- Edward H. Griffith (6 1/2)
Unexpected Uncle,1941,d.- Peter Godfrey (6 1/2)
My Life with Caroline,1941,d.- Lewis Milestone (6 1/2)
The Devil Commands,1941,d.- Edward Dmytryk (6)
Aloma of the South Seas,1941,d.- Alfred Santell (6)
Spooks Run Wild,1941,d.- Phil Rosen (6)
Great Guns,1941,d.- Monty Banks (6)
Wide Open Town,1941,d.- Lesley Selander (6)
Great Guns,1941,d.- Monty Banks (6)
The Wild Man of Borneo,1941,d.- Robert B. Sinclair (6)
Lady Scarface,1941,d.- Frank Woodruff (6)
Love On the Dole,1941,(BR) d.- John Baxter (5 1/2)
No Hands on the Clock,1941,d.- Frank McDonald (5 1/2)
Yankee Doodle Dandy,1942,d.- Michael Curtiz (7)
"Now, Voyager",1942,d.- Irving Rapper (7)
Mrs. Miniver,1942,d.- William Wyler (7)
Random Harvest,1942,d.- Mervyn LeRoy (7)
Pride of the Yankees,1942,d.- Sam Wood (7)
In Which We Serve,1942,"(BR) d.- Noel Coward, David Lean (7)"
The Palm Beach Story,1942,d.- Preston Sturges (7)
King's Row,1942,d.- Sam Wood (7)
The Black Swan,1942,d.- Henry King (7)
To Be or Not To Be,1942,d.- Ernst Lubitsch (7)
Gentleman Jim,1942,d.- Raoul Walsh (7)
The Magnificent Ambersons,1942,d.- Orson Welles (7)
Cat People,1942,d.- Jacques Tourneur (7)
Holiday Inn,1942,d.- Mark Sandrich (6 1/2)
The Talk of the Town,1942,d.- George Stevens (6 1/2)
Woman of the Year,1942,d.- George Stevens (6 1/2)
Road to Morocco,1942,d.- David Butler (6 1/2)
This Gun For Hire,1942,d.- Frank Tuttle (6 1/2)
Jungle Book,1942,d.- Zoltan Korda (6 1/2)
One of Our Aircraft is Missing,1942,"(BR) d.- Michael Powell, Emeric Pressburger (6 1/2)"
Wake Island,1942,d.- John Farrow (6 1/2)
The Glass Key,1942,d.- Stuart Heisler (6 1/2)
Who Done It ?,1942,d.- Erle C. Kenton (6 1/2)
"Larceny, Inc.",1942,d.- Lloyd Bacon (6 1/2)
Saboteur,1942,d.- Alfred Hitchcock (6 1/2)
I Married a Witch,1942,d.- Rene Clair (6 1/2)
Went the Day Well ?,1942,(BR) d.- Alberto Cavalcanti (6 1/2)
You Were Never Lovelier,1942,d.- William A. Seiter (6 1/2)
Johnny Eager,1942,d.- Mervyn LeRoy (6 1/2)
My Favorite Blonde,1942,d.- Sidney Lanfield (6 1/2)
Tales of Manhattan,1942,d.- Julien Duvivier (6 1/2)
In This Our Life,1942,d.- John Huston (6 1/2)
The Forest Rangers,1942,d.- George Marshall (6 1/2)
Pardon My Sarong,1942,d.- Erle C. Kenton (6 1/2)
Andy Hardy’s Double Life,1942,d.- George B. Seitz (6 1/2)
Desperate Journey,1942,d.- Raoul Walsh (6 1/2)
The Major and the Minor,1942,d.- Billy Wilder (6 1/2)
Roxie Hart,1942,d.- William A. Wellman (6 1/2)
This Above All,1942,d.- Anatole Litvak (6 1/2)
George Washington Slept Here,1942,d.- William Keighley (6 1/2)
Reap the Wild Wind,1942,d.- Cecil B. DeMille (6 1/2)
The Goose Steps Out,1942,"(BR) d.- Basil Dearden, Will Hay (6 1/2)"
Tarzan’s New York Adventure,1942,d.- Richard Thorpe (6 1/2)
Castle in the Desert,1942,d.- Harry Lachman (6 1/2)
The Male Animal,1942,d.- Elliott Nugent (6 1/2)
Journey for Margaret,1942,d.- W. S. Van Dyke (6 1/2)
Across the Pacific,1942,d.- John Huston (6 1/2)
Joan of Paris,1942,d.- Robert Stevenson (6 1/2)
Tortilla Flat,1942,d.- Victor Fleming (6 1/2)
The Fleet’s In,1942,d.- Victor Schertzinger (6 1/2)
White Cargo,1942,d.- Richard Thorpe (6 1/2)
"Take a Letter, Darling",1942,d.- Mitchell Leisen (6 1/2)
For Me and My Gal,1942,d.- Busby Berkeley (6 1/2)
Springtime in the Rockies,1942,d.- Irving Cummings (6 1/2)
Apache Trail,1942,d.- Richard Thorpe (6 1/2)
Grand Central Murder,1942,d.- S. Sylvan Simon (6 1/2)
The Ghost of Frankenstein,1942,d.- Erle C. Kenton (6 1/2)
Keeper of the Flame,1942,d.- George Cukor (6 1/2)
Kid Glove Killer,1942,d.- Fred Zinnemann (6 1/2)
Counter-Espionage,1942,d.- Edward Dmytryk (6 1/2)
The Vanishing Virginian,1942,d.- Frank Borzage (6 1/2)
Once Upon a Honeymoon,1942,d.- Leo McCarey (6 1/2)
Arabian Nights,1942,d.- John Rawlins (6 1/2)
Rio Rita,1942,d.- S. Sylvan Simon (6 1/2)
Seven Sweethearts,1942,d.- Frank Borzage (6 1/2)
Captains of the Clouds,1942,d.- Michael Curtiz (6 1/2)
Thunder Rock,1942,(BR) d.- Roy Boulting (6 1/2)
The Young Mr. Pitt,1942,(BR) d.- Carol Reed (6 1/2)
Maisie Gets Her Man,1942,d.- Roy Del Ruth (6 1/2)
Crossroads,1942,d.- Jack Conway (6 1/2)
I Married an Angel,1942,d.- W. S. Van Dyke (6 1/2)
Moontide,1942,d.- Archie Mayo (6 1/2)
Song of the Islands,1942,d.- Walter Lang (6 1/2)
The Spoilers,1942,d.- Ray Enright (6 1/2)
Eyes in the Night,1942,d.- Fred Zinnemann (6 1/2)
The Falcon Takes Over,1942,d.- Irving Reis (6 1/2)
China Girl,1942,d.- Henry Hathaway (6 1/2)
My Gal Sal,1942,d.- Irving Cummings (6 1/2)
Cairo,1942,d.- W. S. Van Dyke (6 1/2)
Orchestra Wives,1942,d.- Archie Mayo (6 1/2)
Sherlock Holmes and the Voice of Terror,1942,d.- John Rawlins (6 1/2)
Somewhere I’ll Find You,1942,d.- Wesley Ruggles (6 1/2)
The Affairs of Martha,1942,d.- Jules Dassin (6 1/2)
Ship Ahoy,1942,d.- Edward Buzzell (6 1/2)
Reunion in France,1942,d.- Jules Dassin (6 1/2)
Berlin Correspondent,1942,d.- Eugene Forde (6 1/2)
Calling Dr. Gillespie,1942,d.- Harold S. Bucquet (6 1/2)
Alias Boston Blackie,1942,d.- Lew Landers (6 1/2)
The Day Will Dawn,1942,(BR) d.- Harold French (6 1/2)
‘Neath Brooklyn Bridge,1942,d.- Wallace Fox (6 1/2)
A Date with the Falcon,1942,d.- Irving Reis (6 1/2)
Rings on Her Fingers,1942,d.- Rouben Mamoulian (6 1/2)
The Lady is Willing,1942,d.- Mitchell Leisen (6 1/2)
Dr. Kildare’s Victory,1942,d.- W. S. Van Dyke (6 1/2)
The Foreman Went to France,1942,(BR) d.- Charles Frend (6 1/2)
Flying Tigers,1942,d.- David Miller (6 1/2)
The Great Man’s Lady,1942,d.- William A. Wellman (6 1/2)
Syncopation,1942,d.- William Dieterle (6 1/2)
Smart Alecks,1942,d.- Wallace Cox (6 1/2)
The Gay Sisters,1942,d.- Irving Rapper (6 1/2)
Smart Alecks,1942,d.- Wallace Cox (6 1/2)
Stand by for Action,1942,d.- Robert Z. Leonard (6 1/2)
Whistling in Dixie,1942,d.- S. Sylvan Simon (6 1/2)
Ride`Em Cowboy,1942,d.- Arthur Lubin (6 1/2)
Star Spangled Rhythm,1942,d.- George Marshall (6 1/2)
Life Begins at Eight-Thirty,1942,d.- Irving Pichel (6 1/2)
My Sister Eileen,1942,d.- Alexander Hall (6 1/2)
Fingers at the Window,1942,d.- Charles Lederer (6 1/2)
The Pied Piper,1942,d.- Irving Pichel (6 1/2)
Commandos Strike at Dawn,1942,d.- John Farrow (6 1/2)
Pittsburgh,1942,d.- Lewis Seiler (6 1/2)
Unpublished Story,1942,(BR) d.- Harold French (6 1/2)
To the Shores of Tripoli,1942,d.- H. Bruce Humberstone (6 1/2)
Blondie Goes to College,1942,d.- Frank R. Strayer (6 1/2)
Bedtime Story,1942,d.- Alexander Hall (6 1/2)
Dr. Renault’s Secret,1942,d.- Harry Lachman (6 1/2)
Night Monster,1942,d.- Ford Beebe (6 1/2)
The First and the Few,1942,(BR) d.- Leslie Howard (6 1/2)
The Man Who Wouldn’t Die,1942,d.- Herbert I. Leeds (6 1/2)
Footlight Serenade,1942,d.- Gregory Ratoff (6 1/2)
Valley of the Sun,1942,d.- George Marshall (6 1/2)
Panama Hattie,1942,d.- Norman Z. McLeod (6 1/2)
Joan of Ozark,1942,d.- Joseph Santley (6 1/2)
Dr. Gillespie’s New Assistant,1942,d.- Willis Goldbeck (6 1/2)
Wild Bill Hickok Rides Again,1942,d.- Ray Enright (6 1/2)
The Moon and Sixpence,1942,d.- Albert Lewin (6 1/2)
The Mummy’s Tomb,1942,d.- Harold Young (6 1/2)
The Next of Kin,1942,(BR) d.- Thorold Dickinson (6 1/2)
Seven Miles from Alcatraz,1942,d.- Edward Dmytryk (6 1/2)
A Yank on the Burma Road,1942,d.- George B. Seitz (6 1/2)
The Big Street,1942,d.- Irving Reis (6 1/2)
The Daring Young Man,1942,d.- Frank R. Strayer (6 1/2)
Lady from Chungking,1942,d.- William Nigh (6 1/2)
The Boogie Man Will Get You,1942,d.- Lew Landers (6)
Bowery at Midnight,1942,d.- Wallace Fox (6)
The Corpse Vanishes,1942,d.- Wallace Fox (6)
Tanks a Million,1942,d.- Edward Guiol (6)
The Adventures of Martin Eden,1942,d.- Sidney Salkow (6)
The Man Who Wouldn’t Die,1942,d.- Herbert I. Leeds (6)
The Falcon’s Brother,1942,d.- Stanley Logan (6)
Street of Chance,1942,d.- Jack Hively (6)
A-Haunting We Will Go,1942,d.- Alfred L. Werker (6)
Heart of the Rio Grande,1942,d.- William Morgan (6)
The War Against Mrs. Hadley,1942,d.- Harold S. Bucquet (6)
Invisible Agent,1942,d.- Edwin L. Marin (6)
Casablanca,1943,d.- Michael Curtiz (7)
The Life and Death of Colonel Blimp,1943,"(BR) d.- Michael Powell, Emeric Pressburger (7)"
The Ox-Bow Incident,1943,d.- William A. Wellman (7)
The Song of Bernadette,1943,d.- Henry King (7)
Heaven Can Wait,1943,d.- Ernst Lubitsch (7)
Madame Curie,1943,d.- Mervyn LeRoy (7)
The More the Merrier,1943,d.- George Stevens (7)
Lassie Come Home,1943,d.- Fred M. Wilcox (7)
Cabin in the Sky,1943,d.- Vincente Minnelli (7)
Shadow of a Doubt,1943,d.- Alfred Hitchcock (7)
Watch on the Rhine,1943,d.- Herman Shumlin (6 1/2)
So Proudly We Hail!,1943,d.- Mark Sandrich (6 1/2)
The Human Comedy,1943,d.- Clarence Brown (6 1/2)
The Phantom of the Opera,1943,d.- Arthur Lubin (6 1/2)
For Whom the Bell Tolls,1943,d.- Sam Wood (6 1/2)
