Title,Year,Notes
Love Me Tonight,1932,d.- Rouben Mamoulian (7)
Trouble in Paradise,1932,d.- Ernst Lubitsch (7)
One Hour With You,1932,"d.- Ernst Lubitsch, George Cukor  (7)"
I Am a Fugitive From a Chain Gang,1932,d.- Mervyn LeRoy (7)
"Scarface, The Shame of a Nation",1932,"d.- Howard Hawks, Richard Rosson (7)"
Horse Feathers,1932,d.- Norman Z. McLeod (7)
Shanghai Express,1932,d.- Josef von Sternberg (7)
Freaks,1932,d.- Tod Browning (7)
The Most Dangerous Game,1932,"d.- Irving Pichel, Ernest B. Schoedsack (7)"
Red Dust,1932,d.- Victor Fleming (6 1/2)
Jewel Robbery,1932,d.- William Dieterle (6 1/2)
The Old Dark House,1932,d.- James Whale (6 1/2)
One Way Passage,1932,d.- Tay Garnett (6 1/2)
The Mummy,1932,d.- Karl Freund (6 1/2)
A Farewell to Arms,1932,d.- Frank Borzage (6 1/2)
Broken Lullaby,1932,d.- Ernst Lubitsch (6 1/2)
Movie Crazy,1932,d.- Clyde Bruckman (6 1/2)
American Madness,1932,d.- Frank Capra (6 1/2)
Smilin’ Through,1932,d.- Sidney Franklin (6 1/2)
Blessed Event,1932,d.- Roy Del Ruth (6 1/2)
Emma,1932,d.- Clarence Brown (6 1/2)
Blonde Venus,1932,d.- Josef von Sternberg (6 1/2)
Rome Express,1932,(BR) d.- Walter Forde (6 1/2)
Red-Headed Woman,1932,d.- Jack Conway (6 1/2)
Rain,1932,d.- Lewis Milestone (6 1/2)
Tarzan the Ape Man,1932,d.- W. S. Van Dyke (6 1/2)
Skyscraper Souls,1932,d.- Edgar Selwyn (6 1/2)
So Big!,1932,d.- William A. Wellman (6 1/2)
Three on a Match,1932,d.- Mervyn LeRoy (6 1/2)
The Kid from Spain,1932,d.- Leo McCarey (6 1/2)
Tiger Shark,1932,d.- Howard Hawks (6 1/2)
"20,000 Years in Sing Sing",1932,d.- Michael Curtiz (6 1/2)
Downstairs,1932,d.- Monta Bell (6 1/2)
Back Street,1932,d.- John M. Stahl (6 1/2)
The Animal Kingdom,1932,d.- Edward H. Griffith (6 1/2)
Murders in the Zoo,1932,d.- A. Edward Sutherland (6 1/2)
The Match King,1932,"d.- Howard Bretherton, William Keighley (6 1/2)"
"Fireman, Save My Child",1932,d.- Lloyd Bacon (6 1/2)
The Phantom of Crestwood,1932,d.- J. Walter Ruben (6 1/2)
The Lost Squadron,1932,d.- George Archainbaud (6 1/2)
The Mouthpiece,1932,"d.- James Flood, Elliott Nugent (6 1/2)"
The Mask of Fu Manchu,1932,d.- Charles Brabin (6 1/2)
A Bill of Divorcement,1932,d.- George Cukor (6 1/2)
White Zombie,1932,d.- Victor Halperin (6 1/2)
The Sign of the Cross,1932,d.- Cecil B. DeMille (6 1/2)
Blondie of the Follies,1932,d.- Edmund Goulding (6 1/2)
Forbidden,1932,d.- Frank Capra (6 1/2)
World and the Flesh,1932,d.- John Cromwell (6 1/2)
Pack Up Your Troubles,1932,"d.- George Marshall, Ray McCarey (6 1/2)"
Murders in the Rue Morgue,1932,d.- Robert Florey (6 1/2)
Cynara,1932,d.- King Vidor (6 1/2)
Arsene Lupin,1932,d.- Jack Conway (6 1/2)
Beauty and the Boss,1932,d.- Roy Del Ruth (6 1/2)
Wedding Rehearsal,1932,(BR) d.- Alexander Korda (6 1/2)
The Beast of the City,1932,d.- Charles Brabin (6 1/2)
Are You Listening ?,1932,d.- Harry Beaumont (6 1/2)
Big City Blues,1932,d.- Mervyn LeRoy (6 1/2)
The Half Naked Truth,1932,d.- Gregory La Cava (6 1/2)
Rasputin and the Empress,1932,d.- Richard Boleslawski (6 1/2)
The Crowd Roars,1932,d.- Howard Hawks (6 1/2)
Strange Interlude,1932,d.- Robert Z. Leonard (6 1/2)
Dancers in the Dark,1932,d.- David Burton (6 1/2)
Doctor X,1932,d.- Michael Curtiz (6 1/2)
Letty Lynton,1932,d.- Clarence Brown (6 1/2)
Me and My Gal,1932,d.- Raoul Walsh (6 1/2)
Hell’s Highway,1932,d.- Rowland Brown (6 1/2)
Merrily We Go to Hell,1932,d.- Dorothy Arzner (6 1/2)
The Man Who Played God,1932,d.- John G. Adolfi (6 1/2)
The Miracle Man,1932,d.- Norman Z. McLeod (6 1/2)
Union Depot,1932,d.- Alfred E. Green (6 1/2)
Prosperity,1932,d.- Sam Wood (6 1/2)
The Purchase Price,1932,d.- William A. Wellman (6 1/2)
Frisco Jenny,1932,d.- William A. Wellman (6 1/2)
Taxi!,1932,d.- Roy Del Ruth (6 1/2)
Two Seconds,1932,d.- Mervyn LeRoy (6 1/2)
Symphony of Six Million,1932,d.- Gregory La Cava (6 1/2)
Bird of Paradise,1932,d.- King Vidor (6 1/2)
The Age of Consent,1932,d.- Gregory La Cava (6 1/2)
The Crash,1932,d.- William Dieterle (6 1/2)
Air Mail,1932,d.- John Ford (6 1/2)
Cabin in the Cotton,1932,d.- Michael Curtiz (6 1/2)
Night Court,1932,d.- W. S. Van Dyke (6 1/2)
The Hatchet Man,1932,d.- William A. Wellman (6 1/2)
Man Wanted,1932,d.- William Dieterle (6 1/2)
State’s Attorney,1932,d.- George Archainbaud (6 1/2)
Call Her Savage,1932,d.- John Francis Dillon (6 1/2)
What Price Hollywood?,1932,d.- George Cukor (6 1/2)
They Call it Sin,1932,d.- Thornton Freeland (6 1/2)
Payment Deferred,1932,d.- Lothar Mendes (6 1/2)
The Dark Horse,1932,d.- Alfred E. Green (6 1/2)
Faithless,1932,d.- Harry Beaumont (6 1/2)
Flesh,1932,d.- John Ford (6 1/2)
Shopworn,1932,d.- Nick Grinde (6 1/2)
Kongo,1932,d.- William J. Cowen (6 1/2)
The Sign of Four,1932,"(BR) d.- Graham Cutts, Rowland V. Lee (6 1/2)"
Devil and the Deep,1932,d.- Marion Gering (6 1/2)
The Rich Are Always With Us,1932,d.- Alfred E. Green (6 1/2)
Hell’s Highway,1932,d.- Rowland Brown (6 1/2)
The Big Broadcast,1932,d.- Frank Tuttle (6 1/2)
Thirteen Women,1932,d.- George Archainbaud (6 1/2)
The Conquerors,1932,d.- William A. Wellman (6 1/2)
Polly of the Circus,1932,d.- Alfred Santell (6 1/2)
Under Eighteen,1932,d.- Archie Mayo (6 1/2)
Chandu the Magician,1932,"d.- William Cameron Menzies, Marcel Varnel (6 1/2)"
Million Dollar Legs,1932,d.- Edward F. Cline (6 1/2)
Winner Take All,1932,d.- Roy Del Ruth (6 1/2)
Life Begins,1932,"d.- James Flood, Elliott Nugent (6 1/2)"
Service for Ladies,1932,(BR) d.- Alexander Korda (6)
Number Seventeen,1932,(BR) d.- Alfred Hitchcock (6)
The Menace,1932,d.- Roy William Neill (6)
Number Seventeen,1932,(BR) d.- Alfred Hitchcock (6)
Westward Passage,1932,d.- Robert Milton (6)
Law and Order,1932,d.- Edward L. Cahn (6)
Midnight Warning,1932,d.- Spencer G. Bennett (6)
The Strange Love of Molly Louvain,1932,d.- Michael Curtiz (6)
Thirteen Women,1932,d.- George Archainbaud (6)
They Call it Sin,1932,d.- Thornton Freeland (6)
Virtue,1932,d.- Edward Buzzell (6)
Unashamed,1932,d.- Harry Beaumont (6)
Midnight Warning,1932,d.- Spencer Gordon Bennett (6)
Tombstone Canyon,1932,d.- Alan James (5 1/2)
Duck Soup,1933,d.- Leo McCarey (7)
Dinner at Eight,1933,d.- George Cukor (7)
King Kong,1933,"d.- Ernest B. Schoedsack, Merian C. Cooper  (7)"
42nd Street,1933,d.- Lloyd Bacon (7)
Gold Diggers of 1933,1933,d.- Mervyn LeRoy (7)
Footlight Parade,1933,d.- Lloyd Bacon (7)
Queen Christina,1933,d.- Rouben Mamoulian (7)
The Private Life of Henry VIII,1933,(BR) d.- Alexander Korda (7)
Little Women,1933,d.- George Cukor (7)
Sons of the Desert,1933,d.- William A. Seiter (7)
Bombshell,1933,d.- Victor Fleming (7)
The Invisible Man,1933,d.- James Whale (7)
Design for Living,1933,d.- Ernst Lubitsch (7)
Zoo in Budapest,1933,d.- Rowland V. Lee (6 1/2)
Counsellor at Law,1933,d.- William Wyler (6 1/2)
Lady for a Day,1933,d.- Frank Capra (6 1/2)
The Kennel Murder Case,1933,d.- Michael Curtiz (6 1/2)
Island of Lost Souls,1933,d.- Erle C. Kenton (6 1/2)
Only Yesterday,1933,d.- John M. Stahl (6 1/2)
Man’s Castle,1933,d.- Frank Borzage (6 1/2)
Wild Boys of the Road,1933,d.- William A. Wellman (6 1/2)
She Done Him Wrong,1933,d.- Lowell Sherman (6 1/2)
I'm No Angel,1933,d.- Wesley Ruggles (6 1/2)
Cavalcade,1933,d.- Frank Lloyd (6 1/2)
Heroes for Sale,1933,d.- William A. Wellman (6 1/2)
Alice in Wonderland,1933,d.- Norman Z. McLeod (6 1/2)
State Fair,1933,d.- Henry King (6 1/2)
Employees’ Entrance,1933,d.- Roy Del Ruth (6 1/2)
The Good Companions,1933,(BR) d.- Victor Saville (6 1/2)
The Bitter Tea of General Yen,1933,d.- Frank Capra (6 1/2)
"Hallelujah, I'm a Bum!",1933,d.- Lewis Milestone (6 1/2)
International House,1933,d.- A. Edward Sutherland (6 1/2)
Going Hollywood,1933,d.- Raoul Walsh (6 1/2)
Baby Face,1933,d.- Alfred E. Green (6 1/2)
The Devil’s Brother,1933,"d.- Hal Roach, Charley Rogers (6 1/2)"
Elmer the Great,1933,d.- Mervyn LeRoy (6 1/2)
Storm at Daybreak,1933,d.- Richard Boleslawski (6 1/2)
The Bowery,1933,d.- Raoul Walsh (6 1/2)
Roman Scandals,1933,d.- Frank Tuttle (6 1/2)
